"tripdate","time","temperature","wind_speed","wind_degree","wind_dir","weather_code","weather_descriptions","precip","humidity","visibility","pressure","cloudcover","heatindex","dewpoint","windchill","windgust","feelslike","uv_index","totalsnow","avgtemp"
"2014-12-07","900","0","22","129","SE","119","Cloudy","0","60","10","1038","77","0","-6","-5","30","-5","1","0","1"
"2014-12-08","900","2","22","203","SSW","296","Light rain","0.8","91","9","1021","100","2","1","-3","32","-3","1","0.3","2"
"2014-12-09","900","3","30","349","N","122","Overcast","0","89","10","1026","90","3","1","-3","43","-3","1","0.1","3"
"2014-12-10","900","1","23","5","N","122","Overcast","0","79","10","1029","96","1","-3","-5","32","-5","1","0","1"
"2014-12-11","900","-3","14","289","WNW","113","Sunny","0","77","10","1026","0","-3","-6","-8","19","-8","2","0","-1"
"2014-12-12","900","-2","21","283","WNW","116","Partly cloudy","0","79","10","1027","32","-2","-5","-8","28","-8","2","0","0"
"2014-12-13","900","3","18","250","WSW","116","Partly cloudy","0","93","10","1024","52","3","2","-1","29","-1","2","0","5"
"2014-12-14","900","7","16","209","SSW","119","Cloudy","0","96","10","1020","76","7","6","4","29","4","2","0","7"
"2014-12-15","900","7","21","175","S","122","Overcast","0","93","10","1015","88","7","6","3","35","3","2","0","6"
"2014-12-16","900","6","20","286","WNW","122","Overcast","0.1","94","10","1006","100","6","5","2","32","2","2","0","5"
"2014-12-17","900","-3","23","292","WNW","119","Cloudy","0","67","10","1025","83","-3","-8","-9","29","-9","1","0","-2"
"2014-12-18","900","-4","12","246","WSW","113","Sunny","0","59","10","1027","16","-4","-11","-8","15","-8","2","0","-3"
"2014-12-19","900","-1","11","335","NNW","116","Partly cloudy","0","75","10","1027","60","-1","-5","-5","15","-5","2","0","-1"
"2014-12-20","900","-1","4","207","SSW","122","Overcast","0","74","10","1027","96","0","-4","-1","5","-1","1","0","0"
"2014-12-21","900","1","23","170","S","116","Partly cloudy","0","74","10","1025","37","1","-3","-5","32","-5","2","0","2"
"2014-12-22","900","1","22","132","SE","119","Cloudy","0","70","10","1013","67","1","-4","-4","31","-4","1","0","2"
"2014-12-23","900","6","26","211","SSW","119","Cloudy","0","89","10","1004","69","6","5","2","45","2","2","0","7"
"2014-12-24","900","4","4","336","NNW","296","Light rain","0.9","96","9","1003","94","4","3","3","6","3","1","0","4"
"2014-12-25","900","2","28","233","SW","227","Blowing snow","0","79","2","1014","78","2","-2","-4","38","-4","1","0","3"
"2014-12-26","900","3","27","206","SSW","116","Partly cloudy","0","89","10","1018","28","3","2","-2","42","-2","2","0","6"
"2014-12-27","900","7","32","201","SSW","122","Overcast","0","94","10","1015","100","7","6","2","55","2","2","0","5"
"2014-12-28","900","-2","13","282","WNW","116","Partly cloudy","0","65","10","1023","39","-2","-8","-7","17","-7","2","0","-1"
"2014-12-29","900","-1","22","30","NNE","122","Overcast","0","78","10","1029","100","-1","-4","-7","29","-7","1","0","-1"
"2014-12-30","900","-8","23","327","NNW","113","Sunny","0","70","10","1038","11","-8","-13","-16","29","-16","2","0","-8"
"2014-12-31","900","-12","29","254","WSW","113","Sunny","0","54","10","1034","0","-12","-20","-22","34","-22","2","0","-10"
"2015-01-01","900","-7","38","238","WSW","113","Sunny","0","63","10","1019","7","-7","-13","-16","47","-16","2","0","-4"
"2015-01-02","900","-2","8","238","WSW","113","Sunny","0","78","10","1028","5","-2","-6","-5","10","-5","2","0","-1"
"2015-01-03","900","1","18","150","SSE","296","Light rain","0.7","95","9","1015","100","1","1","-4","27","-4","1","1","1"
"2015-01-04","900","0","32","316","NW","230","Blizzard","0.5","90","0","1012","100","0","-1","-6","42","-6","1","2.6","-3"
"2015-01-05","900","-16","29","274","W","113","Sunny","0","80","10","1040","0","-16","-19","-28","34","-28","2","1.4","-15"
"2015-01-06","900","-14","23","305","NW","326","Light snow","0","98","10","1029","83","-14","-14","-23","30","-23","1","3.6","-12"
"2015-01-07","900","-16","46","318","NW","227","Blowing snow","0","92","2","1038","32","-16","-17","-30","53","-30","1","0.2","-16"
"2015-01-08","900","-18","34","218","SW","227","Blowing snow","0","95","2","1029","80","-18","-18","-30","39","-30","1","0","-14"
"2015-01-09","900","-15","35","282","WNW","227","Blowing snow","0","94","2","1027","83","-15","-15","-26","42","-26","1","0","-14"
"2015-01-10","900","-15","26","227","SW","116","Partly cloudy","0","93","10","1032","32","-15","-16","-25","36","-25","2","0","-11"
"2015-01-11","900","-5","23","219","SW","113","Sunny","0","84","10","1026","5","-5","-7","-12","35","-12","2","2.8","-3"
"2015-01-12","900","-6","32","345","NNW","116","Partly cloudy","0","89","10","1032","46","-6","-8","-15","43","-15","2","2.5","-6"
"2015-01-13","900","-10","15","89","E","323","Patchy light snow","0","90","10","1043","62","-10","-11","-16","22","-16","1","0.2","-9"
"2015-01-14","900","-12","15","242","WSW","116","Partly cloudy","0","95","10","1030","59","-12","-13","-19","23","-19","2","0","-10"
"2015-01-15","900","-7","25","225","SW","113","Sunny","0","84","10","1020","18","-7","-9","-15","41","-15","2","0","-5"
"2015-01-16","900","-3","6","333","NNW","116","Partly cloudy","0","84","10","1023","35","-3","-6","-6","11","-6","2","0","-2"
"2015-01-17","900","2","42","203","SSW","113","Sunny","0","87","10","1008","16","2","1","-4","67","-4","2","0","2"
"2015-01-18","900","1","26","266","W","338","Heavy snow","0.1","94","2","1010","100","1","0","-5","38","-5","1","0.7","1"
"2015-01-19","900","0","10","50","NE","119","Cloudy","0","94","10","1018","77","0","-1","-3","17","-3","1","0","1"
"2015-01-20","900","1","4","264","W","143","Mist","0","96","2","1013","100","1","1","0","6","0","1","0.1","1"
"2015-01-21","900","0","12","27","NNE","326","Light snow","0","90","10","1017","100","0","-1","-3","17","-3","1","0.3","0"
"2015-01-22","900","-1","9","291","WNW","326","Light snow","0","82","10","1031","73","-1","-3","-4","12","-4","1","0.1","-1"
"2015-01-23","900","-1","22","242","WSW","119","Cloudy","0","87","10","1024","83","-1","-3","-7","32","-7","1","0","-1"
"2015-01-24","900","0","22","287","WNW","326","Light snow","0","92","10","1008","65","0","-1","-5","34","-5","1","0","1"
"2015-01-25","900","0","42","49","NE","230","Blizzard","0.3","90","0","1009","100","0","-1","-8","55","-8","1","0.5","-1"
"2015-01-26","900","-5","6","168","SSE","119","Cloudy","0","67","10","1016","74","-5","-10","-8","8","-8","1","0.4","-4"
"2015-01-27","900","-2","16","42","NE","119","Cloudy","0","74","10","1021","84","-2","-6","-7","23","-7","1","0.3","-2"
"2015-01-28","900","-4","23","162","SSE","113","Sunny","0","66","10","1027","20","-4","-9","-10","33","-10","2","0","-2"
