"trial","sim","display","feedback","totalFlow","simFlow","simPickup","simProb","predFlow","predPickup","predProb","ds"
0,3,1,1,863,"415,279,169",534,0.618771726535342,"198,375,290",563,0.652375434530707,8.52626800537109
1,3,0,0,796,"433,190,173",495,0.621859296482412,"200,337,259",547,0.687185929648241,20.6508674621582
1,3,0,1,796,"372,191,233",499,0.626884422110553,"200,337,259",547,0.687185929648241,5.34943962097168
1,3,1,0,796,"358,251,187",523,0.657035175879397,"200,337,259",547,0.687185929648241,3.46041679382324
1,3,1,1,796,"354,221,221",512,0.64321608040201,"200,337,259",547,0.687185929648241,2.60565495491028
2,3,0,0,776,"335,232,209",515,0.663659793814433,"176,338,262",530,0.68298969072165,2.68762803077698
2,3,0,1,776,"317,192,267",502,0.646907216494845,"176,338,262",530,0.68298969072165,3.37003421783447
2,3,1,0,776,"359,229,188",513,0.661082474226804,"176,338,262",530,0.68298969072165,3.47513771057129
2,3,1,1,776,"332,226,218",514,0.662371134020619,"176,338,262",530,0.68298969072165,3.26116967201233
3,3,0,0,847,"375,224,248",515,0.608028335301063,"194,380,273",562,0.663518299881936,2.53195643424988
3,3,0,1,847,"318,239,290",524,0.618654073199528,"194,380,273",562,0.663518299881936,8.39601421356201
3,3,1,0,847,"404,206,237",506,0.597402597402597,"194,380,273",562,0.663518299881936,4.34331274032593
3,3,1,1,847,"347,213,287",512,0.604486422668241,"194,380,273",562,0.663518299881936,4.97348117828369
4,3,0,0,677,"254,222,201",511,0.75480059084195,"176,255,246",494,0.729689807976366,1.72775506973267
4,3,0,1,677,"230,210,237",508,0.750369276218611,"176,255,246",494,0.729689807976366,2.47443461418152
4,3,1,0,677,"266,204,207",503,0.742983751846381,"176,255,246",494,0.729689807976366,1.63062715530396
4,3,1,1,677,"196,232,249",497,0.734121122599705,"176,255,246",494,0.729689807976366,1.68157577514648
5,3,0,0,897,"410,246,241",524,0.584169453734671,"187,402,308",569,0.634336677814939,4.48632526397705
5,3,0,1,897,"354,243,300",525,0.585284280936455,"187,402,308",569,0.634336677814939,9.51816844940186
5,3,1,0,897,"404,268,225",532,0.593088071348941,"187,402,308",569,0.634336677814939,3.68700647354126
5,3,1,1,897,"384,212,301",512,0.570791527313266,"187,402,308",569,0.634336677814939,4.70796585083008
6,3,0,0,851,"385,250,216",524,0.615746180963572,"183,365,303",550,0.646298472385429,4.54952573776245
6,3,0,1,851,"330,215,306",514,0.603995299647474,"183,365,303",550,0.646298472385429,5.73831605911255
6,3,1,0,851,"335,258,258",530,0.622796709753232,"183,365,303",550,0.646298472385429,7.74145603179932
6,3,1,1,851,"349,188,314",502,0.589894242068155,"183,365,303",550,0.646298472385429,1.65115940570831
7,3,0,0,753,"272,252,229",526,0.698539176626826,"161,346,246",524,0.695883134130146,10.7744169235229
7,3,0,1,753,"311,152,290",482,0.640106241699867,"161,346,246",524,0.695883134130146,3.74432826042175
7,3,1,0,753,"261,261,231",530,0.703851261620186,"161,346,246",524,0.695883134130146,10.9906101226807
7,3,1,1,753,"259,206,288",509,0.675962815405046,"161,346,246",524,0.695883134130146,9.09355735778809
8,3,0,0,680,"225,201,254",503,0.739705882352941,"175,265,240",497,0.730882352941176,2.1405827999115
8,3,0,1,680,"226,175,279",493,0.725,"175,265,240",497,0.730882352941176,0.879986882209778
8,3,1,0,680,"202,233,245",501,0.736764705882353,"175,265,240",497,0.730882352941176,2.45052599906921
8,3,1,1,680,"207,204,269",493,0.725,"175,265,240",497,0.730882352941176,1.54135537147522
9,3,0,0,733,"211,255,267",519,0.708049113233288,"189,260,284",507,0.691678035470669,2.14391112327576
9,3,0,1,733,"241,196,296",505,0.688949522510232,"189,260,284",507,0.691678035470669,1.09121716022491
9,3,1,0,733,"201,290,242",525,0.716234652114598,"189,260,284",507,0.691678035470669,1.11723816394806
